Movie Name,Movie Type,Start Time,End Time,Total Seats,Booked Seats,Price for 1 Adult,Price for 1 Child,Rating
Inception,Sci-Fi,14:00,16:30,100,50,150,100,PG-13
Avengers,Action,17:00,19:30,200,164,200,150,PG-13
Frozen,Animation,10:00,11:45,150,75,120,80,G
Titanic,Romance,20:00,22:45,180,90,180,120,PG-13
Matrix,Sci-Fi,16:00,18:30,120,60,170,110,R
Toy Story,Animation,09:00,10:45,130,65,110,70,G
Avatar,Sci-Fi,12:00,14:45,210,105,220,150,PG-13
Coco,Animation,11:00,12:45,140,70,130,90,PG
Gladiator,Action,19:00,21:30,160,80,190,130,R
Up,Animation,08:00,09:45,120,60,100,70,PG
